assetId,sourceKey,kind,mediaType,byteSize,sha256,duplicateGroup,language,altTextStatus,captionStatus,transcriptStatus,sourceType,sourceReference,rightsStatus,rightsEvidence,recommendedDisposition,reviewReasonCode,futureObjectKeyHint
mig003-image-0ba24faa7e78aacf,.codex/ui_audit_chrome/course-center.png,image,image/png,1756430,0ba24faa7e78aacfe2f83611fb617e59c498e9eddfc888aebce48f6d37e1b55b,dg-000010,unknown,PRESENT,N/A,N/A,internal-dev-screenshot,internal-dev-screenshot,RESTRICTED,Internal screenshot capture; may contain third-party UI or placeholder content.,REVIEW,restricted-screenshot,mig003/image/unknown/0ba24faa7e78aacf.png
mig003-image-ad4d1572cc664a35,.codex/ui_audit_chrome/index.png,image,image/png,1767911,ad4d1572cc664a35935cbe478977244ae6154c8e9686c600929e087aaee9a427,dg-000011,unknown,PRESENT,N/A,N/A,internal-dev-screenshot,internal-dev-screenshot,RESTRICTED,Internal screenshot capture; may contain third-party UI or placeholder content.,REVIEW,restricted-screenshot,mig003/image/unknown/ad4d1572cc664a35.png
mig003-image-1f47cb68da09202b,.codex/ui_audit_chrome/learning-tasks.png,image,image/png,1484243,1f47cb68da09202b1d34f36191b7635d3db03b74251817c965738fa289e8769a,dg-000012,unknown,PRESENT,N/A,N/A,internal-dev-screenshot,internal-dev-screenshot,RESTRICTED,Internal screenshot capture; may contain third-party UI or placeholder content.,REVIEW,restricted-screenshot,mig003/image/unknown/1f47cb68da09202b.png
mig003-image-1e323e0100c69006,.codex/ui_audit_chrome/platform-internal.png,image,image/png,1601648,1e323e0100c690065acb923dc6b8a244c58614e163a8dcb34c22825eff019246,dg-000013,unknown,PRESENT,N/A,N/A,internal-dev-screenshot,internal-dev-screenshot,RESTRICTED,Internal screenshot capture; may contain third-party UI or placeholder content.,REVIEW,restricted-screenshot,mig003/image/unknown/1e323e0100c69006.png
mig003-image-750405d85aca94b6,.codex/ui_audit_chrome/premium-purchase.png,image,image/png,1671735,750405d85aca94b60253460a10789f789b74fd0e0ff9610e8408cc82c65fa0b3,dg-000014,unknown,PRESENT,N/A,N/A,internal-dev-screenshot,internal-dev-screenshot,RESTRICTED,Internal screenshot capture; may contain third-party UI or placeholder content.,REVIEW,restricted-screenshot,mig003/image/unknown/750405d85aca94b6.png
mig003-image-352bae035a104248,.codex/ui_audit_chrome/pricing.png,image,image/png,1554138,352bae035a10424893a69f0815e4f056b709b59814b84dd474708c242ea7f82c,dg-000015,unknown,PRESENT,N/A,N/A,internal-dev-screenshot,internal-dev-screenshot,RESTRICTED,Internal screenshot capture; may contain third-party UI or placeholder content.,REVIEW,restricted-screenshot,mig003/image/unknown/352bae035a104248.png
mig003-image-2747ca67044fd57e,.codex/ui_audit_chrome/professional-purchase.png,image,image/png,1513835,2747ca67044fd57ea5845b30545abe78d5b2e2fa72fef51b651c76626edbbff6,dg-000016,unknown,PRESENT,N/A,N/A,internal-dev-screenshot,internal-dev-screenshot,RESTRICTED,Internal screenshot capture; may contain third-party UI or placeholder content.,REVIEW,restricted-screenshot,mig003/image/unknown/2747ca67044fd57e.png
mig003-image-9f307decabebd807,.codex/ui_audit_chrome/student-dashboard.png,image,image/png,1651562,9f307decabebd80725843a1e15a8e908cf293f4ec4e2695bc06b02f4fab43233,dg-000017,unknown,PRESENT,N/A,N/A,internal-dev-screenshot,internal-dev-screenshot,RESTRICTED,Internal screenshot capture; may contain third-party UI or placeholder content.,REVIEW,restricted-screenshot,mig003/image/unknown/9f307decabebd807.png
mig003-image-c26690b8c86a4798,.codex/ui_audit_chrome/student-profile.png,image,image/png,1503195,c26690b8c86a47981a80d5c873483380bb7852ad37d205e31fb102e359c287b4,dg-000018,unknown,PRESENT,N/A,N/A,internal-dev-screenshot,internal-dev-screenshot,RESTRICTED,Internal screenshot capture; may contain third-party UI or placeholder content.,REVIEW,restricted-screenshot,mig003/image/unknown/c26690b8c86a4798.png
mig003-image-885086466191283a,.codex/ui_audit_chrome/teacher-dashboard.png,image,image/png,1506053,885086466191283a4759bcd1e3d37c73a7575f1c054c8f65022d3271a89c5cf7,dg-000019,unknown,PRESENT,N/A,N/A,internal-dev-screenshot,internal-dev-screenshot,RESTRICTED,Internal screenshot capture; may contain third-party UI or placeholder content.,REVIEW,restricted-screenshot,mig003/image/unknown/885086466191283a.png
mig003-image-ff533bf7cc50585a,.codex/ui_audit_chrome/video-player.png,image,image/png,1411888,ff533bf7cc50585ae43c9be1e3bf30f2476f345cffd5e40b91129f2bd44b1a14,dg-000020,unknown,PRESENT,N/A,N/A,internal-dev-screenshot,internal-dev-screenshot,RESTRICTED,Internal screenshot capture; may contain third-party UI or placeholder content.,REVIEW,restricted-screenshot,mig003/image/unknown/ff533bf7cc50585a.png
mig003-unknown-b6a17d0ad9c008c0,.trae/documents/修复网页翻译功能，保持原有结构和逻辑.md,unknown,application/octet-stream,1260,b6a17d0ad9c008c0299eadf8a9cf382000a462966b866057aa872617b0115424,dg-000021,unknown,N/A,N/A,N/A,unknown,unknown,UNKNOWN,Cannot identify media kind or MIME type from extension and magic bytes.,REVIEW,unsupported-format,mig003/unknown/unknown/b6a17d0ad9c008c0.md
mig003-unknown-7862e9acdca46d41,admin-dashboard.html,unknown,application/octet-stream,39850,7862e9acdca46d41b79db067759815dba1c00077c72224963eb60ab5adbe7e7d,dg-000022,unknown,N/A,N/A,N/A,unknown,unknown,UNKNOWN,Cannot identify media kind or MIME type from extension and magic bytes.,REVIEW,unsupported-format,mig003/unknown/unknown/7862e9acdca46d41.html
mig003-unknown-b0c3893947fe931e,admin-student-management.html,unknown,application/octet-stream,26651,b0c3893947fe931edd62fc95571c6256dc83cff96c429e52fcc7d54a7c570c53,dg-000023,unknown,N/A,N/A,N/A,unknown,unknown,UNKNOWN,Cannot identify media kind or MIME type from extension and magic bytes.,REVIEW,unsupported-format,mig003/unknown/unknown/b0c3893947fe931e.html
mig003-image-b3647c374ef73a46,assets/images/logo.png,image,image/png,58514,b3647c374ef73a46031d9a70321c077e775bf92dbf89ee3fa0106ae930e705a9,dg-000024,unknown,PRESENT,N/A,N/A,internal-asset-image,internal-asset-image,APPROVED,Shipped as part of the internal application asset bundle.,MIGRATE,,mig003/image/unknown/b3647c374ef73a46.png
mig003-image-d1bff40e8f41f8a7,assets/images/yx-plateau-soundscape-hero-v2.png,image,image/png,2561255,d1bff40e8f41f8a779101250ecb61c580cb9de02349dbf041ef577e66308d9d3,dg-000025,unknown,PRESENT,N/A,N/A,internal-asset-image,internal-asset-image,APPROVED,Shipped as part of the internal application asset bundle.,MIGRATE,,mig003/image/unknown/d1bff40e8f41f8a7.png
mig003-image-89d8f7a95351d46f,assets/images/yx-plateau-soundscape-hero.png,image,image/png,2931065,89d8f7a95351d46f1ff0e1056b7360f345852624caa3c30754526ae1b2c76195,dg-000026,unknown,PRESENT,N/A,N/A,internal-asset-image,internal-asset-image,APPROVED,Shipped as part of the internal application asset bundle.,MIGRATE,,mig003/image/unknown/89d8f7a95351d46f.png
mig003-image-3a51c96c45772335,assets/images/三年级-夏洛的网-课程封面.png,image,image/png,1340622,3a51c96c4577233594d1c84749c9a4a993be6d2d4d302e0f55a76ab83e175503,dg-000027,unknown,PRESENT,N/A,N/A,internal-asset-image,internal-asset-image,APPROVED,Shipped as part of the internal application asset bundle.,MIGRATE,,mig003/image/unknown/3a51c96c45772335.png
mig003-image-01be58a13e3d769d,assets/images/五年级-我为仓央嘉措诗配画-课程封面.png,image,image/png,994590,01be58a13e3d769de6cd0e7c87abfdaf5781e60f765b6027f3d96d9852898a40,dg-000028,unknown,PRESENT,N/A,N/A,internal-asset-image,internal-asset-image,APPROVED,Shipped as part of the internal application asset bundle.,MIGRATE,,mig003/image/unknown/01be58a13e3d769d.png
mig003-image-96f63dea0ffc7420,assets/images/视频播放封面.png,image,image/png,105287,96f63dea0ffc74203d28dc97d7c285135c87fcf0383e78c273e876cc98c8545a,dg-000029,unknown,PRESENT,N/A,N/A,internal-asset-image,internal-asset-image,APPROVED,Shipped as part of the internal application asset bundle.,MIGRATE,,mig003/image/unknown/96f63dea0ffc7420.png
mig003-video-c3a5ae27cdaf996a,assets/media/video.mp4,video,video/mp4,666564,c3a5ae27cdaf996af1635a7c151969e875a2bfa012816113e2dd0ca800fcfd72,dg-000030,unknown,N/A,MISSING,MISSING,internal-asset-media,internal-asset-media,APPROVED,Shipped as part of the internal application asset bundle.,MIGRATE,,mig003/video/unknown/c3a5ae27cdaf996a.mp4
mig003-unknown-120011c17e3cd4cc,course-center.html,unknown,application/octet-stream,76795,120011c17e3cd4cc260def160c24ad07105eda378bfcb2a2e9f7c74679f61765,dg-000031,unknown,N/A,N/A,N/A,unknown,unknown,UNKNOWN,Cannot identify media kind or MIME type from extension and magic bytes.,REVIEW,unsupported-format,mig003/unknown/unknown/120011c17e3cd4cc.html
mig003-unknown-ea0e8b50aec2c16d,dashboard.html,unknown,application/octet-stream,46990,ea0e8b50aec2c16da2686da0e9e353c047c030f9612fb6597dca96398904a051,dg-000032,unknown,N/A,N/A,N/A,unknown,unknown,UNKNOWN,Cannot identify media kind or MIME type from extension and magic bytes.,REVIEW,unsupported-format,mig003/unknown/unknown/ea0e8b50aec2c16d.html
mig003-unknown-eb6e835d0e874f15,db/analytics.json,unknown,application/octet-stream,2138,eb6e835d0e874f1568ea3f73b962a4305e72bd9c8269052d06261852549fc034,dg-000033,unknown,N/A,N/A,N/A,unknown,unknown,UNKNOWN,Cannot identify media kind or MIME type from extension and magic bytes.,REVIEW,unsupported-format,mig003/unknown/unknown/eb6e835d0e874f15.json
mig003-unknown-4f53cda18c2baa0c,db/applications.json,unknown,application/octet-stream,2,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,dg-000034,unknown,N/A,N/A,N/A,unknown,unknown,UNKNOWN,Cannot identify media kind or MIME type from extension and magic bytes.,REVIEW,unsupported-format,mig003/unknown/unknown/4f53cda18c2baa0c.json
mig003-unknown-3e108fc48cd214df,db/assessments.json,unknown,application/octet-stream,2405,3e108fc48cd214df880e91bee4d098846d9482a693b9ffb4db99aacd9cb72a8e,dg-000035,unknown,N/A,N/A,N/A,unknown,unknown,UNKNOWN,Cannot identify media kind or MIME type from extension and magic bytes.,REVIEW,unsupported-format,mig003/unknown/unknown/3e108fc48cd214df.json
mig003-unknown-69115067bb6acf28,db/courses.json,unknown,application/octet-stream,6990,69115067bb6acf28fe8434ce9f8a2e1a30fc825d7dc96617d9dbdc46e8cff54b,dg-000036,unknown,N/A,N/A,N/A,unknown,unknown,UNKNOWN,Cannot identify media kind or MIME type from extension and magic bytes.,REVIEW,unsupported-format,mig003/unknown/unknown/69115067bb6acf28.json
mig003-unknown-fdc1939c0ce00b3a,db/lang/bo.json,unknown,application/octet-stream,35894,fdc1939c0ce00b3a19c1b39cf37944fcd79159c1c6b0a397e1f685e010027306,dg-000037,unknown,N/A,N/A,N/A,unknown,unknown,UNKNOWN,Cannot identify media kind or MIME type from extension and magic bytes.,REVIEW,unsupported-format,mig003/unknown/unknown/fdc1939c0ce00b3a.json
mig003-unknown-6fb9ecabb1445d28,db/lang/courses_bo.json,unknown,application/octet-stream,1499,6fb9ecabb1445d2897ed27f0066332a290e7b50d0d02bcc866f09e0916d8579e,dg-000038,bo,N/A,N/A,N/A,unknown,unknown,UNKNOWN,Cannot identify media kind or MIME type from extension and magic bytes.,REVIEW,unsupported-format,mig003/unknown/bo/6fb9ecabb1445d28.json
mig003-unknown-59a5feb18743a7e6,db/lang/zh.json,unknown,application/octet-stream,18882,59a5feb18743a7e6b30d024353f58dd9b18a0462ff0f253a5a4fd980ac31828e,dg-000039,unknown,N/A,N/A,N/A,unknown,unknown,UNKNOWN,Cannot identify media kind or MIME type from extension and magic bytes.,REVIEW,unsupported-format,mig003/unknown/unknown/59a5feb18743a7e6.json
mig003-unknown-4d9d3c139d314587,db/learning-records.json,unknown,application/octet-stream,3900,4d9d3c139d314587d81c6e8396a8d328edea82a48a73a5237c8e6b46bbfd85a9,dg-000040,unknown,N/A,N/A,N/A,unknown,unknown,UNKNOWN,Cannot identify media kind or MIME type from extension and magic bytes.,REVIEW,unsupported-format,mig003/unknown/unknown/4d9d3c139d314587.json
mig003-unknown-ec4347cdbd9f3558,db/materials.json,unknown,application/octet-stream,4194,ec4347cdbd9f35589d10a3f810e1b61717c58f9fd17501f909396b09611c2e3a,dg-000041,unknown,N/A,N/A,N/A,unknown,unknown,UNKNOWN,Cannot identify media kind or MIME type from extension and magic bytes.,REVIEW,unsupported-format,mig003/unknown/unknown/ec4347cdbd9f3558.json
mig003-unknown-de0d4231a2218f51,db/progress.json,unknown,application/octet-stream,2637,de0d4231a2218f51c57ffc1315a7e3cce9b81084f7da34ef893dd6ef2c13c99d,dg-000042,unknown,N/A,N/A,N/A,unknown,unknown,UNKNOWN,Cannot identify media kind or MIME type from extension and magic bytes.,REVIEW,unsupported-format,mig003/unknown/unknown/de0d4231a2218f51.json
mig003-unknown-e1f17213b1fc7289,db/users.json,unknown,application/octet-stream,2578,e1f17213b1fc728934c39e4b08f79a80316bdcfdf4092668e3a1513d1c73f69a,dg-000043,unknown,N/A,N/A,N/A,unknown,unknown,UNKNOWN,Cannot identify media kind or MIME type from extension and magic bytes.,REVIEW,unsupported-format,mig003/unknown/unknown/e1f17213b1fc7289.json
mig003-unknown-b96b624db8ec3623,docs/01-项目概述.md,unknown,application/octet-stream,1866,b96b624db8ec36236fc82b790528568244e8df4dd97596a1194ca7c2c6b48a78,dg-000044,unknown,N/A,N/A,N/A,document,document,UNKNOWN,Cannot identify media kind or MIME type from extension and magic bytes.,REVIEW,unsupported-format,mig003/unknown/unknown/b96b624db8ec3623.md
mig003-unknown-1a8284803321872f,docs/02-技术架构.md,unknown,application/octet-stream,9542,1a8284803321872fbcd5a00ed08f6b137567494ab96b1b8396b88fbf5ad917d7,dg-000045,unknown,N/A,N/A,N/A,document,document,UNKNOWN,Cannot identify media kind or MIME type from extension and magic bytes.,REVIEW,unsupported-format,mig003/unknown/unknown/1a8284803321872f.md
mig003-unknown-ceaf625f8c085105,docs/03-核心功能模块.md,unknown,application/octet-stream,5999,ceaf625f8c085105cd8dd40e89cd9e5e5203a9d4b5267426a65b1e3d32725437,dg-000046,unknown,N/A,N/A,N/A,document,document,UNKNOWN,Cannot identify media kind or MIME type from extension and magic bytes.,REVIEW,unsupported-format,mig003/unknown/unknown/ceaf625f8c085105.md
mig003-unknown-1fdb0c35f9e601e8,docs/04-数据库设计.md,unknown,application/octet-stream,7042,1fdb0c35f9e601e86709742333a3eb480498b2cf31d3cbdfbc3a5a924ee39043,dg-000047,unknown,N/A,N/A,N/A,document,document,UNKNOWN,Cannot identify media kind or MIME type from extension and magic bytes.,REVIEW,unsupported-format,mig003/unknown/unknown/1fdb0c35f9e601e8.md
mig003-unknown-dd4c81fac87be90d,docs/05-API接口设计.md,unknown,application/octet-stream,7516,dd4c81fac87be90d8688365dfe7d780b6afcc5c7dce31c0b567c9e8e3b2a68ba,dg-000048,unknown,N/A,N/A,N/A,document,document,UNKNOWN,Cannot identify media kind or MIME type from extension and magic bytes.,REVIEW,unsupported-format,mig003/unknown/unknown/dd4c81fac87be90d.md
mig003-unknown-f047a0b858067325,docs/06-页面结构.md,unknown,application/octet-stream,5325,f047a0b858067325f26c7ce5ef691a779fbbd179ff476b78d76069cce7d121ee,dg-000049,unknown,N/A,N/A,N/A,document,document,UNKNOWN,Cannot identify media kind or MIME type from extension and magic bytes.,REVIEW,unsupported-format,mig003/unknown/unknown/f047a0b858067325.md
mig003-unknown-eb5bdec33645abb9,docs/07-待开发功能.md,unknown,application/octet-stream,7010,eb5bdec33645abb9066ea5a79225472abf2160c3b80a3e0f0bc2188b99099deb,dg-000050,unknown,N/A,N/A,N/A,document,document,UNKNOWN,Cannot identify media kind or MIME type from extension and magic bytes.,REVIEW,unsupported-format,mig003/unknown/unknown/eb5bdec33645abb9.md
mig003-unknown-24514c7f76fa71b0,docs/09-部署方案.md,unknown,application/octet-stream,11034,24514c7f76fa71b000d00a930a7c14bbfcd15425b50d57c369b2842dc0e711c4,dg-000051,unknown,N/A,N/A,N/A,document,document,UNKNOWN,Cannot identify media kind or MIME type from extension and magic bytes.,REVIEW,unsupported-format,mig003/unknown/unknown/24514c7f76fa71b0.md
mig003-unknown-603860c1372b0fa4,docs/10-后续规划.md,unknown,application/octet-stream,6510,603860c1372b0fa463401cb1a44bb3090957f9210dd0776f26418426dce57e23,dg-000052,unknown,N/A,N/A,N/A,document,document,UNKNOWN,Cannot identify media kind or MIME type from extension and magic bytes.,REVIEW,unsupported-format,mig003/unknown/unknown/603860c1372b0fa4.md
mig003-document-91c816b5ff2975dd,docs/archive/AI接手项目的完整文档模板.pdf,document,application/pdf,600808,91c816b5ff2975dd93feec0e8f4423135c809b30aa8113c6b032ca97a7c65e88,dg-000053,unknown,N/A,N/A,N/A,document-archive,document-archive,UNKNOWN,Legacy document without attached license or ownership evidence.,REVIEW,missing-rights,mig003/document/unknown/91c816b5ff2975dd.pdf
mig003-document-e2cc4f21a1428f2e,docs/archive/本地运行方式.docx,document,application/vnd.openxmlformats-officedocument.wordprocessingml.document,14798,e2cc4f21a1428f2ea5f2e78d68c4e9ed4348bb71c04996d7e5155f8b6020762a,dg-000054,unknown,N/A,N/A,N/A,document-archive,document-archive,UNKNOWN,Legacy document without attached license or ownership evidence.,REVIEW,missing-rights,mig003/document/unknown/e2cc4f21a1428f2e.docx
mig003-unknown-c68f481e906bfbbd,docs/DEVELOPMENT_FLOW.md,unknown,application/octet-stream,54293,c68f481e906bfbbd85ebc076a9b9000bc1a2b195e80c5dc1d7038d1b264d9c31,dg-000055,unknown,N/A,N/A,N/A,document,document,UNKNOWN,Cannot identify media kind or MIME type from extension and magic bytes.,REVIEW,unsupported-format,mig003/unknown/unknown/c68f481e906bfbbd.md
mig003-unknown-16b5c2f6608861ea,docs/internal/learnings/ERRORS.md,unknown,application/octet-stream,801,16b5c2f6608861ea53b59e40be8950ee41306e1b85e1a6a667ceec8f6e460f4a,dg-000056,unknown,N/A,N/A,N/A,document,document,UNKNOWN,Cannot identify media kind or MIME type from extension and magic bytes.,REVIEW,unsupported-format,mig003/unknown/unknown/16b5c2f6608861ea.md
mig003-unknown-891665c0dad96be1,docs/internal/program_study/AI开发必读/AI常见前端不足及改进.md,unknown,application/octet-stream,35977,891665c0dad96be135f91ae5a2b91c560c3285d4ba0bf4f7411f632ad02ad4fd,dg-000057,unknown,N/A,N/A,N/A,document,document,UNKNOWN,Cannot identify media kind or MIME type from extension and magic bytes.,REVIEW,unsupported-format,mig003/unknown/unknown/891665c0dad96be1.md
mig003-unknown-6f5dea7fbaa04049,docs/internal/program_study/V3-前端设计/01-设计经验总结.md,unknown,application/octet-stream,9119,6f5dea7fbaa0404926159cd09b590f094e6e3f879a8769b59730a7da0f806d94,dg-000058,unknown,N/A,N/A,N/A,document,document,UNKNOWN,Cannot identify media kind or MIME type from extension and magic bytes.,REVIEW,unsupported-format,mig003/unknown/unknown/6f5dea7fbaa04049.md
mig003-unknown-5c450c907fb287c3,docs/internal/program_study/V3-前端设计/02-设计系统规范.md,unknown,application/octet-stream,13359,5c450c907fb287c3030a3d84e60537c46b4a67a3292fcaaee7175c4be0908a81,dg-000059,unknown,N/A,N/A,N/A,document,document,UNKNOWN,Cannot identify media kind or MIME type from extension and magic bytes.,REVIEW,unsupported-format,mig003/unknown/unknown/5c450c907fb287c3.md
mig003-unknown-6cdbf9885bf2c2fd,docs/internal/program_study/V3-前端设计/03-组件使用指南.md,unknown,application/octet-stream,26307,6cdbf9885bf2c2fd76d9a4b4ea1ed660a5fad34d573f8bd734c4a8c5771ac886,dg-000060,unknown,N/A,N/A,N/A,document,document,UNKNOWN,Cannot identify media kind or MIME type from extension and magic bytes.,REVIEW,unsupported-format,mig003/unknown/unknown/6cdbf9885bf2c2fd.md
mig003-unknown-c94d3de6843366d3,docs/internal/program_study/V3-前端设计/04-常见问题与改进方案.md,unknown,application/octet-stream,17815,c94d3de6843366d3bf41f6636feb2e5134e7e6b8930fda0d0ef8c1898d9b329c,dg-000061,unknown,N/A,N/A,N/A,document,document,UNKNOWN,Cannot identify media kind or MIME type from extension and magic bytes.,REVIEW,unsupported-format,mig003/unknown/unknown/c94d3de6843366d3.md
mig003-unknown-0fb3942a07d0df5b,docs/internal/program_study/V3-前端设计/05-内容增强与微交互经验.md,unknown,application/octet-stream,35389,0fb3942a07d0df5b638851b7b176bf99fd821f3305c6d6b0733bb2565b142cb7,dg-000062,unknown,N/A,N/A,N/A,document,document,UNKNOWN,Cannot identify media kind or MIME type from extension and magic bytes.,REVIEW,unsupported-format,mig003/unknown/unknown/0fb3942a07d0df5b.md
mig003-unknown-1d122d49b076ebad,docs/README.md,unknown,application/octet-stream,3208,1d122d49b076ebade74aa0612ea4117b4d091f06d7936fae83b72da43f173d49,dg-000063,unknown,N/A,N/A,N/A,document,document,UNKNOWN,Cannot identify media kind or MIME type from extension and magic bytes.,REVIEW,unsupported-format,mig003/unknown/unknown/1d122d49b076ebad.md
mig003-document-ef6f77a62b6fbbca,docs/resources/“语赞心声”分级课程体系总览.docx,document,application/vnd.openxmlformats-officedocument.wordprocessingml.document,257664,ef6f77a62b6fbbcad32892f0d44b9c4972f50cb6667974bdc67d1c6aa8d2273e,dg-000064,unknown,N/A,N/A,N/A,document-resource,document-resource,UNKNOWN,Legacy document without attached license or ownership evidence.,REVIEW,missing-rights,mig003/document/unknown/ef6f77a62b6fbbca.docx
mig003-unknown-f53b7195095569b4,learning-tasks.html,unknown,application/octet-stream,31196,f53b7195095569b4a88f3c9bfc564f993c4e23693f7fa4f9c5d587188c5dc9e9,dg-000065,unknown,N/A,N/A,N/A,unknown,unknown,UNKNOWN,Cannot identify media kind or MIME type from extension and magic bytes.,REVIEW,unsupported-format,mig003/unknown/unknown/f53b7195095569b4.html
mig003-unknown-a88e2401c59b521f,microservices/docker-compose.yml,unknown,application/octet-stream,4618,a88e2401c59b521f04ef832373e45c46fa8a66ddd7d8c54622a3f98c70503156,dg-000066,unknown,N/A,N/A,N/A,unknown,unknown,UNKNOWN,Cannot identify media kind or MIME type from extension and magic bytes.,REVIEW,unsupported-format,mig003/unknown/unknown/a88e2401c59b521f.yml
mig003-unknown-ab09c9edfae776be,microservices/gateway/Dockerfile,unknown,application/octet-stream,161,ab09c9edfae776be672efd6fcd9b13a3f5aa2d56bd29956cc0f05fd9fad6ac8a,dg-000067,unknown,N/A,N/A,N/A,unknown,unknown,UNKNOWN,Cannot identify media kind or MIME type from extension and magic bytes.,REVIEW,unsupported-format,mig003/unknown/unknown/ab09c9edfae776be.bin
mig003-unknown-05c991d23018ab05,microservices/gateway/package.json,unknown,application/octet-stream,317,05c991d23018ab059f7c18e12361da04d7693ff5192606dc64154d95a4df8efa,dg-000068,unknown,N/A,N/A,N/A,unknown,unknown,UNKNOWN,Cannot identify media kind or MIME type from extension and magic bytes.,REVIEW,unsupported-format,mig003/unknown/unknown/05c991d23018ab05.json
mig003-unknown-bc404f9110508881,microservices/gateway/server.js,unknown,application/octet-stream,1734,bc404f91105088812f517862368c5d17123eeee666bf32915594a8fed5099991,dg-000069,unknown,N/A,N/A,N/A,unknown,unknown,UNKNOWN,Cannot identify media kind or MIME type from extension and magic bytes.,REVIEW,unsupported-format,mig003/unknown/unknown/bc404f9110508881.js
