sequence,page_id,route,reference,size,round,MAE,P10,P20,SSIM,overflow,console_errors,interaction,status
35,student-course-detail,/student/courses/:courseId,candidate.png,1659x948,,,,,,,,,QUEUED
36,student-assignments,/student/assignments,candidate.png,1659x948,,,,,,,,,QUEUED
37,student-exercise,/student/exercises/:exerciseId,candidate.png,1659x948,,,,,,,,,QUEUED
38,student-recommendations,/student/recommendations,candidate.png,1659x948,,,,,,,,,QUEUED
39,student-offline-downloads,/student/offline,candidate.png,1659x948,,,,,,,,,QUEUED
40,student-community,/student/community,candidate.png,1659x948,,,,,,,,,QUEUED
41,service-system,/services,service-system.png,1672x941,,,,,,,,,QUEUED
42,school-cooperation,/cooperation,school-cooperation.png,1672x941,,,,,,,,,QUEUED
43,project-impact,/impact,project-impact.png,1672x941,,,,,,,,,QUEUED
44,volunteer-recruitment,/volunteer/apply,volunteer-recruitment.png,1672x941,,,,,,,,,QUEUED
45,language-practice-community,/community,language-practice-community.png,1672x941,,,,,,,,,QUEUED
46,one-to-one-support,/support,one-to-one-support.png,1672x941,,,,,,,,,QUEUED
47,curriculum-versioning,/research/curriculum/:courseId/versions,curriculum-versioning.png,1659x948,,,,,,,,,QUEUED
48,resource-library,/resources,resource-library-candidate.png,1672x941,,,,,,,,,QUEUED
49,assessment-authoring,/research/assessment-authoring,assessment-authoring-candidate.png,1672x941,,,,,,,,,QUEUED
